date,city,station,sigma_f,labels_json,best_contract,yes_ask_prob,model_prob,value_prob,observed_high_f,winning_contract,won,profit,strategy,computed_winning,computed_won
2026-01-08,Miami,KMIA,2.0,"[""76° or below"", ""77° to 78°"", ""79° to 80°"", ""81° to 82°"", ""83° to 84°"", ""85° or above""]",81° to 82°,0.01,0.847462,0.837462,82.4,81° to 82°,1.0,0.99,lock_0930,,
2026-01-08,Denver,KDEN,2.0,"[""35° or below"", ""36° to 37°"", ""38° to 39°"", ""40° to 41°"", ""42° to 43°"", ""44° or above""]",40° to 41°,0.99,0.989932,-6.8e-05,41.0,40° to 41°,1.0,0.01,lock_1200,,
2026-01-08,Denver,KDEN,2.0,"[""35° or below"", ""36° to 37°"", ""38° to 39°"", ""40° to 41°"", ""42° to 43°"", ""44° or above""]",40° to 41°,0.99,0.989932,-6.8e-05,41.0,40° to 41°,1.0,0.01,lock_0930,,
2026-01-08,Los Angeles,KLAX,2.0,"[""58° or below"", ""59° to 60°"", ""61° to 62°"", ""63° to 64°"", ""65° to 66°"", ""67° or above""]",63° to 64°,0.71,0.958185,0.248185,62.6,63° to 64°,1.0,0.29,lock_1200,,
2026-01-08,Los Angeles,KLAX,2.0,"[""58° or below"", ""59° to 60°"", ""61° to 62°"", ""63° to 64°"", ""65° to 66°"", ""67° or above""]",63° to 64°,0.71,0.958185,0.248185,62.6,63° to 64°,1.0,0.29,lock_0930,,
2026-01-08,Philadelphia,KPHL,2.0,"[""47° or below"", ""48° to 49°"", ""50° to 51°"", ""52° to 53°"", ""54° to 55°"", ""56° or above""]",54° to 55°,0.83,0.975127,0.145127,55.4,54° to 55°,1.0,0.17,lock_1200,,
2026-01-08,Philadelphia,KPHL,2.0,"[""47° or below"", ""48° to 49°"", ""50° to 51°"", ""52° to 53°"", ""54° to 55°"", ""56° or above""]",54° to 55°,0.83,0.975127,0.145127,55.4,54° to 55°,1.0,0.17,lock_0930,,
2026-01-09,Chicago,KMDW,2.0,"[""55° or below"", ""56° to 57°"", ""58° to 59°"", ""60° to 61°"", ""62° to 63°"", ""64° or above""]",62° to 63°,0.01,0.0,-0.01,60.8,60° to 61°,0,-0.010000,lock_1200,60° to 61°,0
2026-01-09,Chicago,KMDW,2.0,"[""55° or below"", ""56° to 57°"", ""58° to 59°"", ""60° to 61°"", ""62° to 63°"", ""64° or above""]",62° to 63°,0.01,0.0,-0.01,60.8,60° to 61°,0,-0.010000,lock_0930,60° to 61°,0
2026-01-09,NYC,KNYC,2.0,"[""48° or below"", ""49° to 50°"", ""51° to 52°"", ""53° to 54°"", ""55° to 56°"", ""57° or above""]",55° to 56°,0.06,0.538897,0.478897,53.1,53° to 54°,0,-0.060000,lock_1200,53° to 54°,0
